Name,Atno,Neutrons,Mass,Abundance
H,1,0,1.007825032,100
H,1,1,2.014101778,0.0115
He,2,1,3.01602932,0.00013
He,2,2,4.002603254,100
Li,3,3,6.015122887,8.2134
Li,3,4,7.01600344,100
Be,4,5,9.0121831,100
B,5,5,10.012937,24.8439
B,5,6,11.009305,100
C,6,6,12,100
C,6,7,13.00335484,1.0816
N,7,7,14.003074,100
N,7,8,15.0001089,0.3653
O,8,8,15.99491462,100
O,8,9,16.99913176,0.0381
O,8,10,17.99915961,0.2055
F,9,10,18.99840316,100
Ne,10,10,19.99244018,100
Ne,10,11,20.9938467,0.2984
Ne,10,12,21.9913851,10.2232
Na,11,12,22.98976928,100
Mg,12,12,23.9850417,100
Mg,12,13,24.985837,12.6598
Mg,12,14,25.982593,13.9384
Al,13,14,26.9815385,100
Si,14,14,27.97692654,100
Si,14,15,28.97649467,5.0801
Si,14,16,29.97377001,3.3527
P,15,16,30.973762,100
S,16,16,31.97207117,100
S,16,17,32.97145891,0.7895
S,16,18,33.967867,4.4742
S,16,20,35.967081,0.0105
Cl,17,18,34.9688527,100
Cl,17,20,36.9659026,31.9958
Ar,18,18,35.9675451,0.3349
Ar,18,20,37.962732,0.0632
Ar,18,22,39.96238312,100
K,19,20,38.96370649,100
K,19,21,39.9639982,0.0125
K,19,22,40.96182526,7.2167
Ca,20,20,39.9625909,100
Ca,20,22,41.958618,0.6674
Ca,20,23,42.958766,0.1393
Ca,20,24,43.955482,2.1518
Ca,20,26,45.95369,0.0041
Ca,20,28,47.9525228,0.1929
Sc,21,24,44.955908,100
Ti,22,24,45.952628,11.191
Ti,22,25,46.951759,10.09224
Ti,22,26,47.947942,100
Ti,22,27,48.947866,7.3386
Ti,22,28,49.944787,7.0266
V,23,27,49.947156,0.2506
V,23,28,50.943957,100
Cr,24,26,49.946042,5.1856
Cr,24,28,51.940506,100
Cr,24,29,52.940648,11.3391
Cr,24,30,53.938879,2.8225
Mn,25,30,54.938044,100
Fe,26,28,53.939609,6.3703
Fe,26,30,55.934936,100
Fe,26,31,56.935393,2.3094
Fe,26,32,57.933274,0.3073
Co,27,32,58.933194,100
Ni,28,30,57.935342,100
Ni,28,32,59.930786,38.5196
Ni,28,33,60.931056,1.6744
Ni,28,34,61.928345,5.339
Ni,28,36,63.927967,1.3595
Cu,29,34,62.929598,100
Cu,29,36,64.92779,44.6132
Zn,30,34,63.929142,100
Zn,30,36,65.926034,56.3962
Zn,30,37,66.927128,8.2163
Zn,30,38,67.92485,37.5229
Zn,30,40,69.92532,1.2406
Ga,31,38,68.925574,100
Ga,31,40,70.924703,66.3672
Ge,32,38,69.924249,56.3562
